,hour,Spring,spring_stdev,Summer,summer_stdev,Fall,fall_stdev,Winter,winter_stdev
0,00,1003.0333333333333,347.9213975726254,476.64130434782606,228.93518075997633,499.1195652173913,222.67727878427,990.75,279.72986289570906
1,01,993.9111111111112,344.1670668099189,464.4782608695652,229.04245278896258,490.80434782608694,238.5904822954302,973.4239130434783,284.3101580139293
2,02,981.7865168539325,352.30185193152795,457.6195652173913,233.31154961214338,483.26881720430106,237.97393639635698,969.8695652173913,286.24401331849816
3,03,979.8555555555556,360.016529284455,451.0,235.1793487680339,482.0326086956522,239.24466515732004,972.7173913043479,286.2017882728654
4,04,986.3444444444444,364.8361629587578,455.89130434782606,234.95302289577785,483.0978260869565,240.10355826377557,980.4891304347826,289.53217492471407
5,05,1006.8111111111111,352.89462999108275,467.25,235.35023046145687,494.7608695652174,243.11910525167346,1006.4239130434783,287.6001993141827
6,06,1045.8666666666666,359.2786043665213,499.3478260869565,231.03305027930756,514.5978260869565,239.81505826195973,1037.1739130434783,286.87459798951284
7,07,1091.9888888888888,370.17096633986233,540.0869565217391,231.66611338462351,573.6413043478261,260.44454393951867,1088.9021739130435,296.96486616164634
8,08,1142.5444444444445,366.6210020386209,608.0108695652174,252.1434415154276,620.3260869565217,262.0930016108476,1122.8260869565217,296.8512879297606
9,09,1163.1666666666667,363.8261871339722,642.0108695652174,260.83805131208777,659.8695652173913,255.67788062118586,1146.695652173913,289.6453505781358
10,10,1232.1888888888889,608.390881194802,684.4673913043479,269.4332397381648,698.8260869565217,252.5886675439827,1171.9021739130435,296.4381693644455
11,11,1199.4555555555555,357.97430575426336,719.3478260869565,268.5869398060981,739.8586956521739,248.64334425392713,1194.3369565217392,295.09947759644325
12,12,1192.6666666666667,342.8982032291475,741.9021739130435,279.50511622378946,745.3260869565217,236.237035931197,1186.2826086956522,298.6348768940803
13,13,1167.7,336.136065373004,746.0434782608696,283.2371073486065,741.1847826086956,224.55428942433008,1167.3260869565217,293.6545259719633
14,14,1140.911111111111,348.3960914579982,732.2717391304348,276.6958031163335,726.2608695652174,213.4110582260369,1142.4130434782608,291.8143450959543
15,15,1117.7777777777778,358.42063363774673,712.9565217391304,268.74268091321755,702.195652173913,204.54547911057497,1144.5217391304348,286.586752866762
16,16,1106.2222222222222,359.5896975961407,690.7282608695652,278.1849987852496,671.8804347826087,205.11077825490474,1166.445652173913,287.12602762892453
17,17,1106.6777777777777,382.79898489874057,672.304347826087,285.2708758176902,639.6739130434783,205.13002815264633,1180.5434782608695,287.77676330959235
18,18,1099.8666666666666,391.73333333333306,637.2826086956521,287.15600691303354,622.2826086956521,216.07699544007943,1184.141304347826,279.84139846339895
19,19,1094.8555555555556,382.26856647333705,592.4239130434783,281.86055886831286,607.7608695652174,228.1309392110829,1156.1521739130435,271.1075486408609
20,20,1074.9333333333334,368.0380656641072,555.0326086956521,268.41557862709163,582.6304347826087,227.99521912375536,1116.4239130434783,261.83164329042876
21,21,1052.6444444444444,363.2586256867169,528.6413043478261,263.20010495908355,557.695652173913,226.26776841736577,1082.8478260869565,270.1259341887799
22,22,1045.4555555555555,365.395224718268,516.5326086956521,257.10251935446314,536.9021739130435,221.78966042973008,1050.5869565217392,277.57964592143213
23,23,1025.9777777777779,361.0583510175418,494.1847826086956,236.55521137633096,529.8152173913044,230.00292669914032,1028.8695652173913,283.1329084658522
