,hour,Spring,spring_stdev,Summer,summer_stdev,Fall,fall_stdev,Winter,winter_stdev
0,00,188.9111111111111,126.30893734934591,122.45652173913044,111.59538842773246,114.77173913043478,97.59043779566386,173.81521739130434,117.63529947033112
1,01,191.14444444444445,127.38407026792908,124.98913043478261,111.89197960195295,111.90217391304348,105.6732103542731,173.8913043478261,118.70363685518024
2,02,187.0,130.33000465111456,122.70652173913044,110.32772701715224,111.90322580645162,109.58269470514713,175.8586956521739,120.96761887253123
3,03,189.36666666666667,136.53086342166984,118.66304347826087,113.10088582034152,110.83695652173913,107.14194944029944,175.59782608695653,122.94157854202354
4,04,188.96666666666667,139.3310566002187,120.1195652173913,112.8533910791866,110.96739130434783,107.99551632067241,174.92391304347825,120.45522654529937
5,05,189.66666666666666,137.4375009474003,121.80434782608695,115.69809279650454,107.78260869565217,104.64752703687668,173.3586956521739,118.17089518093654
6,06,189.8111111111111,138.17805698481493,120.59782608695652,115.8552376124214,104.29347826086956,100.97056588361889,175.84782608695653,119.95641733767931
7,07,190.1888888888889,139.7484163650637,115.41304347826087,109.91203520107152,112.07608695652173,110.19510697884637,177.57608695652175,124.33870586423373
8,08,185.63333333333333,136.70994843097557,114.25,112.52368108246293,116.19565217391305,115.26597212066754,177.70652173913044,125.34279414638658
9,09,177.65555555555557,136.05547570434575,111.04347826086956,111.30695054701486,113.34782608695652,115.44455047512865,176.66304347826087,122.86430100034127
10,10,174.34444444444443,139.66445194036484,111.55434782608695,110.80901746095229,110.6086956521739,114.70168837331899,180.08695652173913,121.49044086335361
11,11,173.57777777777778,137.5583090731408,114.1304347826087,109.94299089817892,106.33695652173913,111.6946806150309,180.94565217391303,120.39205557807291
12,12,170.72222222222223,133.4088142829965,120.1195652173913,113.22753567305777,104.27173913043478,109.78606699245162,176.1086956521739,117.98935623714198
13,13,170.77777777777777,135.3356139198464,122.28260869565217,113.77154130355277,105.22826086956522,107.0969799497947,172.30434782608697,119.3111331889675
14,14,172.9777777777778,136.67203060837753,123.30434782608695,114.19964775039278,108.51086956521739,105.9467149259083,168.82608695652175,115.72583874940509
15,15,170.44444444444446,135.39991064424356,120.05434782608695,112.99272428774331,106.6195652173913,103.50717706593485,173.75,114.41682236074568
16,16,176.54444444444445,132.19910582241818,125.76086956521739,121.39061721183371,107.08695652173913,101.06160972546627,176.4891304347826,115.52117202573899
17,17,185.13333333333333,134.00499161515506,130.3913043478261,127.18114063445603,107.1195652173913,96.20876783592345,182.8695652173913,117.02463670297438
18,18,184.36666666666667,134.17032707222066,130.30434782608697,129.430839273372,110.22826086956522,99.99109778428209,188.20652173913044,115.35997893583205
19,19,188.13333333333333,130.27758398469356,128.9673913043478,125.8463047329314,114.55434782608695,104.39612729474158,191.04347826086956,111.45860150195348
20,20,183.66666666666666,132.20463935379368,130.55434782608697,122.8365265859675,119.54347826086956,107.44345459695433,192.0108695652174,111.63639489190453
21,21,185.26666666666668,129.07877009364816,131.1086956521739,120.29948647490048,123.06521739130434,107.98206416564965,190.29347826086956,113.92079037298699
22,22,189.67777777777778,132.12786969681036,130.1195652173913,121.59777264758775,121.66304347826087,103.8231436431908,187.9673913043478,118.25621144518634
23,23,191.94444444444446,132.4864237163031,124.8695652173913,116.19728513921488,125.45652173913044,103.8520491354929,183.6304347826087,116.90043305153769
