,hour,Spring,spring_stdev,Summer,summer_stdev,Fall,fall_stdev,Winter,winter_stdev
0,00,289.76666666666665,191.17328090853425,162.68478260869566,130.1339551776174,154.42391304347825,121.44888293968283,266.54347826086956,182.58234670151475
1,01,285.3666666666667,196.27709720924878,162.66304347826087,123.43078303013758,153.07608695652175,127.07779487347692,263.3695652173913,183.58019911882278
2,02,276.7415730337079,198.63548729018368,163.80434782608697,122.78164066929648,150.0,125.35317847920214,265.64130434782606,185.1617730715342
3,03,279.5111111111111,202.95184127408945,158.93478260869566,120.22404848302357,147.8695652173913,123.51370434360929,267.3695652173913,189.44390688626726
4,04,280.05555555555554,205.15096669477936,158.20652173913044,122.28917421987914,147.45652173913044,124.9968184850317,268.0978260869565,193.35398151883803
5,05,277.44444444444446,205.07018371014735,159.81521739130434,127.55117722666955,154.33695652173913,133.51992826133164,273.1521739130435,190.22754879712102
6,06,282.22222222222223,206.13872231947627,157.1086956521739,132.37557377810035,157.6413043478261,136.69639331791004,272.7717391304348,189.29652970365044
7,07,282.96666666666664,215.50031966978096,155.40217391304347,140.20986287507742,159.0,138.91825873043348,276.69565217391306,189.49249951489045
8,08,279.1222222222222,218.8670234425856,163.5,151.16004331718145,153.40217391304347,139.03018594524625,274.7826086956522,187.08895966351758
9,09,279.1,221.30286185828376,170.67391304347825,160.13228965151254,158.07608695652175,148.82417651417688,276.07608695652175,182.6862500296765
10,10,286.3222222222222,223.16306085101778,182.69565217391303,169.0358682756565,168.19565217391303,156.89987385552297,275.8152173913044,184.05533958377998
11,11,289.8888888888889,216.6317122801555,196.66304347826087,172.8290986201909,179.30434782608697,160.96109029759975,281.89130434782606,184.0987126824687
12,12,290.2111111111111,213.47935078099832,207.04347826086956,177.76639000100292,179.20652173913044,154.66313591040634,278.7391304347826,182.63600468675256
13,13,291.7111111111111,210.4014281977533,210.20652173913044,176.0372081496383,179.18478260869566,153.62000898234362,273.3695652173913,180.14479184879517
14,14,294.0888888888889,210.8813065022568,213.06521739130434,175.2935304957042,179.0326086956522,150.84641275489713,269.3369565217391,181.06047975709018
15,15,294.44444444444446,212.44890162688327,212.42391304347825,173.19361079286583,179.7608695652174,146.42124827725632,267.82608695652175,179.06791331877488
16,16,291.7888888888889,209.22993701478256,213.56521739130434,175.13164640572194,173.31521739130434,139.49582581785347,270.64130434782606,176.34745726903802
17,17,289.1,205.3116898766361,216.7173913043478,181.8516671025518,165.2173913043478,130.45687494065484,275.54347826086956,172.5449792047606
18,18,283.1666666666667,201.19124401093273,211.1413043478261,178.24181068581956,162.3695652173913,132.11652608598345,281.0,168.60385781341185
19,19,282.14444444444445,202.39985513340832,196.0,169.6155499434197,158.58695652173913,133.7006025948107,279.44565217391306,168.6929526201527
20,20,285.9555555555556,196.67010794227141,179.75,155.21945369169364,159.45652173913044,128.07109209880252,273.7173913043478,167.48649044072548
21,21,287.3777777777778,190.9206104803062,171.56521739130434,148.15930794013772,161.45652173913044,122.99844582293804,268.07608695652175,168.35774757134516
22,22,295.22222222222223,193.10905253985243,167.58695652173913,141.1205275930066,161.90217391304347,119.50832786905151,265.07608695652175,173.69008092224223
23,23,292.1333333333333,191.98508043884846,162.43478260869566,131.3570726276304,164.40217391304347,124.34953014566648,268.3804347826087,180.61524337370142
