"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","01.01.2020 00:00 - 01.01.2020 01:00 (CET)","432","n/e","n/e","41","198","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","119","255"
"BZN|DK2","01.01.2020 01:00 - 01.01.2020 02:00 (CET)","460","n/e","n/e","41","187","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","73","105","219"
"BZN|DK2","01.01.2020 02:00 - 01.01.2020 03:00 (CET)","413","n/e","n/e","34","184","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","96","226"
"BZN|DK2","01.01.2020 03:00 - 01.01.2020 04:00 (CET)","411","n/e","n/e","32","180","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","73","114","239"
"BZN|DK2","01.01.2020 04:00 - 01.01.2020 05:00 (CET)","458","n/e","n/e","32","184","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","137","254"
"BZN|DK2","01.01.2020 05:00 - 01.01.2020 06:00 (CET)","409","n/e","n/e","32","186","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","144","302"
"BZN|DK2","01.01.2020 06:00 - 01.01.2020 07:00 (CET)","410","n/e","n/e","32","185","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","63","168","329"
"BZN|DK2","01.01.2020 07:00 - 01.01.2020 08:00 (CET)","460","n/e","n/e","33","188","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","168","346"
"BZN|DK2","01.01.2020 08:00 - 01.01.2020 09:00 (CET)","479","n/e","n/e","34","187","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","149","309"
"BZN|DK2","01.01.2020 09:00 - 01.01.2020 10:00 (CET)","456","n/e","n/e","34","165","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","65","130","316"
"BZN|DK2","01.01.2020 10:00 - 01.01.2020 11:00 (CET)","466","n/e","n/e","39","174","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","65","123","338"
"BZN|DK2","01.01.2020 11:00 - 01.01.2020 12:00 (CET)","466","n/e","n/e","42","180","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","65","158","403"
"BZN|DK2","01.01.2020 12:00 - 01.01.2020 13:00 (CET)","461","n/e","n/e","42","176","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","65","151","424"
"BZN|DK2","01.01.2020 13:00 - 01.01.2020 14:00 (CET)","465","n/e","n/e","43","180","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","65","138","415"
"BZN|DK2","01.01.2020 14:00 - 01.01.2020 15:00 (CET)","470","n/e","n/e","43","182","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","65","129","423"
"BZN|DK2","01.01.2020 15:00 - 01.01.2020 16:00 (CET)","468","n/e","n/e","42","180","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","65","110","416"
"BZN|DK2","01.01.2020 16:00 - 01.01.2020 17:00 (CET)","468","n/e","n/e","43","187","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","130","391"
"BZN|DK2","01.01.2020 17:00 - 01.01.2020 18:00 (CET)","425","n/e","n/e","43","186","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","139","387"
"BZN|DK2","01.01.2020 18:00 - 01.01.2020 19:00 (CET)","424","n/e","n/e","37","189","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","92","343"
"BZN|DK2","01.01.2020 19:00 - 01.01.2020 20:00 (CET)","425","n/e","n/e","34","193","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","62","54","261"
"BZN|DK2","01.01.2020 20:00 - 01.01.2020 21:00 (CET)","422","n/e","n/e","33","177","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","32","174"
"BZN|DK2","01.01.2020 21:00 - 01.01.2020 22:00 (CET)","425","n/e","n/e","33","184","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","16","141"
