,Unnamed: 0,MTU,Biomass,FossilGas,FossilHardCoal,FossilOil,Solar,Waste,WindOffshore,WindOnshore
0,0,2020-01-01 00:00:00.000,99360.0,20090.0,162360.0,2600.0,0.0,16560.0,1309.0,2805.0
1,1,2020-01-01 01:00:00.000,105800.0,20090.0,153340.0,2600.0,0.0,16790.0,1155.0,2409.0
2,2,2020-01-01 02:00:00.000,94990.0,16660.0,150880.0,2600.0,0.0,16560.0,1056.0,2486.0
3,3,2020-01-01 03:00:00.000,94530.0,15680.0,147600.0,2600.0,0.0,16790.0,1254.0,2629.0
4,4,2020-01-01 04:00:00.000,105340.0,15680.0,150880.0,5200.0,0.0,16100.0,1507.0,2794.0
5,5,2020-01-01 05:00:00.000,94070.0,15680.0,152520.0,7800.0,0.0,14720.0,1584.0,3322.0
6,6,2020-01-01 06:00:00.000,94300.0,15680.0,151700.0,7800.0,0.0,14490.0,1848.0,3619.0
7,7,2020-01-01 07:00:00.000,105800.0,16170.0,154160.0,7800.0,0.0,14720.0,1848.0,3806.0
8,8,2020-01-01 08:00:00.000,110170.0,16660.0,153340.0,7800.0,0.0,14720.0,1639.0,3399.0
9,9,2020-01-01 09:00:00.000,104880.0,16660.0,135300.0,8450.0,270.0,14950.0,1430.0,3476.0
10,10,2020-01-01 10:00:00.000,107180.0,19110.0,142680.0,9100.0,945.0,14950.0,1353.0,3718.0
11,11,2020-01-01 11:00:00.000,107180.0,20580.0,147600.0,9750.0,1440.0,14950.0,1738.0,4433.0
12,12,2020-01-01 12:00:00.000,106030.0,20580.0,144320.0,9750.0,1440.0,14950.0,1661.0,4664.0
13,13,2020-01-01 13:00:00.000,106950.0,21070.0,147600.0,9750.0,1305.0,14950.0,1518.0,4565.0
14,14,2020-01-01 14:00:00.000,108100.0,21070.0,149240.0,9750.0,675.0,14950.0,1419.0,4653.0
15,15,2020-01-01 15:00:00.000,107640.0,20580.0,147600.0,9750.0,135.0,14950.0,1210.0,4576.0
16,16,2020-01-01 16:00:00.000,107640.0,21070.0,153340.0,9750.0,0.0,14950.0,1430.0,4301.0
17,17,2020-01-01 17:00:00.000,97750.0,21070.0,152520.0,9750.0,0.0,14950.0,1529.0,4257.0
18,18,2020-01-01 18:00:00.000,97520.0,18130.0,154980.0,8450.0,0.0,14950.0,1012.0,3773.0
19,19,2020-01-01 19:00:00.000,97750.0,16660.0,158260.0,8450.0,0.0,14260.0,594.0,2871.0
20,20,2020-01-01 20:00:00.000,97060.0,16170.0,145140.0,7800.0,0.0,15640.0,352.0,1914.0
21,21,2020-01-01 21:00:00.000,97750.0,16170.0,150880.0,7800.0,0.0,16330.0,176.0,1551.0
22,22,2020-01-01 22:00:00.000,94760.0,16170.0,145960.0,7800.0,0.0,16330.0,319.0,1793.0
23,23,2020-01-01 23:00:00.000,95220.0,15680.0,145960.0,7800.0,0.0,16330.0,550.0,2112.0
24,24,2020-01-02 00:00:00.000,89700.0,19110.0,136940.0,7800.0,0.0,15180.0,770.0,2409.0
25,25,2020-01-02 01:00:00.000,91770.0,19600.0,120540.0,7800.0,0.0,15410.0,484.0,2387.0
26,26,2020-01-02 02:00:00.000,84410.0,16660.0,114800.0,7800.0,0.0,15180.0,374.0,2354.0
27,27,2020-01-02 03:00:00.000,73600.0,15680.0,113160.0,7800.0,0.0,15410.0,638.0,2508.0
28,28,2020-01-02 04:00:00.000,77280.0,15680.0,112340.0,7800.0,0.0,14950.0,682.0,2574.0
29,29,2020-01-02 05:00:00.000,86250.0,16170.0,114800.0,7800.0,0.0,13570.0,715.0,2904.0
30,30,2020-01-02 06:00:00.000,105110.0,16660.0,116440.0,7800.0,0.0,14720.0,616.0,2871.0
31,31,2020-01-02 07:00:00.000,115920.0,23520.0,130380.0,7800.0,0.0,14720.0,528.0,3080.0
32,32,2020-01-02 08:00:00.000,119140.0,45570.0,134480.0,7800.0,0.0,14720.0,616.0,3388.0
33,33,2020-01-02 09:00:00.000,120750.0,51940.0,145960.0,7800.0,90.0,14490.0,583.0,3366.0
34,34,2020-01-02 10:00:00.000,120980.0,52920.0,156620.0,8450.0,360.0,14950.0,726.0,3289.0
35,35,2020-01-02 11:00:00.000,120520.0,62720.0,182040.0,13000.0,675.0,17250.0,902.0,3124.0
36,36,2020-01-02 12:00:00.000,120750.0,56350.0,161540.0,9750.0,765.0,17020.0,858.0,3179.0
37,37,2020-01-02 13:00:00.000,120520.0,56350.0,164000.0,10400.0,585.0,17480.0,682.0,3300.0
38,38,2020-01-02 14:00:00.000,117300.0,55860.0,161540.0,10400.0,270.0,16560.0,869.0,3399.0
39,39,2020-01-02 15:00:00.000,115460.0,56350.0,160720.0,10400.0,45.0,16330.0,880.0,3223.0
40,40,2020-01-02 16:00:00.000,114080.0,56350.0,158260.0,10400.0,0.0,16330.0,968.0,3091.0
41,41,2020-01-02 17:00:00.000,112700.0,56350.0,156620.0,10400.0,0.0,16330.0,1155.0,3586.0
42,42,2020-01-02 18:00:00.000,114080.0,56840.0,157440.0,10400.0,0.0,16330.0,1540.0,4587.0
43,43,2020-01-02 19:00:00.000,114080.0,56350.0,164820.0,10400.0,0.0,16330.0,2090.0,5313.0
44,44,2020-01-02 20:00:00.000,114310.0,53410.0,162360.0,10400.0,0.0,15180.0,2090.0,5808.0
45,45,2020-01-02 21:00:00.000,101430.0,51940.0,155800.0,9750.0,0.0,14490.0,1914.0,5412.0
46,46,2020-01-02 22:00:00.000,101660.0,25480.0,156620.0,9750.0,0.0,14490.0,2310.0,5808.0
47,47,2020-01-02 23:00:00.000,91310.0,21070.0,159080.0,9750.0,0.0,13800.0,2354.0,5907.0
48,48,2020-01-03 00:00:00.000,62330.0,21070.0,159080.0,9750.0,0.0,12190.0,2321.0,5742.0
49,49,2020-01-03 01:00:00.000,51750.0,20580.0,150060.0,9750.0,0.0,12420.0,2266.0,5687.0
50,50,2020-01-03 02:00:00.000,52440.0,20580.0,148420.0,9750.0,0.0,12420.0,2211.0,5764.0
